,Date,Value
400,05.07.2015,1529691916.7
401,06.07.2015,1424912389.44
402,07.07.2015,1400882935.42
403,08.07.2015,1489429923.55
404,09.07.2015,1413328259.18
405,12.07.2015,1415651621.77
406,13.07.2015,1429912798.9
407,14.07.2015,1433017775.82
408,15.07.2015,1441251984.66
409,16.07.2015,1443026012.2
410,19.07.2015,1435996936.47
411,20.07.2015,1426796585.7
412,21.07.2015,1423322457.16
413,22.07.2015,1415105281.06
414,23.07.2015,1383556651.72
415,26.07.2015,1381944521.39
416,27.07.2015,1373729164.05
417,28.07.2015,1369948615.26
418,29.07.2015,1363691137.41
419,30.07.2015,1393586334.79
420,02.08.2015,1393849592.97
421,03.08.2015,1364275697.03
422,04.08.2015,1317455479.52
423,05.08.2015,1310726085.38
424,06.08.2015,1297024155.83
425,09.08.2015,1320550621.5
426,10.08.2015,1280130028.12
427,11.08.2015,1275753458.79
428,12.08.2015,1271566150.36
429,13.08.2015,1310009639.75
430,16.08.2015,1259665179.47
431,17.08.2015,1247825173.82
432,18.08.2015,1247042717.67
433,19.08.2015,1268883175.94
434,20.08.2015,1263798699.52
435,23.08.2015,1223466890.44
436,24.08.2015,1215912997.41
437,25.08.2015,1210055990.15
438,26.08.2015,1193242952.1
439,27.08.2015,1179413482.58
440,30.08.2015,1168043279.21
441,31.08.2015,1165281973.61
442,01.09.2015,1172620088.57
443,02.09.2015,1174443692.29
444,03.09.2015,1182695016.68
445,06.09.2015,1163931465.2
446,07.09.2015,1164763779.55
447,08.09.2015,1168176163.63
448,09.09.2015,1185375464.31
449,10.09.2015,1167308842.37
450,13.09.2015,1181565956.71
451,14.09.2015,1162464559.62
452,15.09.2015,1191110722.34
453,16.09.2015,1177878700.99
454,17.09.2015,1174532233.56
455,20.09.2015,1180597854.13
456,21.09.2015,1149902396.22
457,22.09.2015,1146894899.34
458,23.09.2015,1147562866.81
459,24.09.2015,1145545336.61
460,27.09.2015,1160130884.95
461,28.09.2015,1159700483.01
462,29.09.2015,1164789941.77
463,30.09.2015,1177543122.06
464,01.10.2015,1190674698.25
465,04.10.2015,1179621578.74
466,05.10.2015,1195639371.22
467,06.10.2015,1187365288.36
468,07.10.2015,1186987336.22
469,08.10.2015,1182158254.78
470,11.10.2015,1184602301.69
471,12.10.2015,1172139280.85
472,13.10.2015,1176669102.4
473,14.10.2015,1182259373.97
474,15.10.2015,1189786008.3
475,18.10.2015,1178587964.29
476,19.10.2015,1184522037.77
477,20.10.2015,1239124063.67
478,21.10.2015,1251539631.8
479,22.10.2015,1237758033.09
480,25.10.2015,1225414572.16
481,26.10.2015,1208268421.73
482,27.10.2015,1210139771.38
483,28.10.2015,1207029778.89
484,29.10.2015,1289603306.49
485,01.11.2015,1251142221.15
486,02.11.2015,1289541422.22
487,04.11.2015,1287103948.5
488,05.11.2015,1283364755.49
489,08.11.2015,1285432605.96
490,09.11.2015,1240425900.45
491,10.11.2015,1257325766.48
492,11.11.2015,1258207451.97
493,12.11.2015,1244673195.91
494,15.11.2015,1251757112.35
495,16.11.2015,1281877989.24
496,17.11.2015,1228341713.98
497,18.11.2015,1360271472.4
498,19.11.2015,1474946547.8
499,22.11.2015,1471887705.98
500,23.11.2015,1593998453.4
501,24.11.2015,1568474153.36
502,25.11.2015,1606957508.82
503,26.11.2015,1590291842.77
504,29.11.2015,1559389390.82
505,30.11.2015,1580294302.09
506,01.12.2015,1591622155.83
507,02.12.2015,1594125230.0
508,03.12.2015,1560011680.47
509,06.12.2015,1482325327.55
510,07.12.2015,1456210100.05
511,08.12.2015,1454405101.96
512,09.12.2015,1456717516.11
513,10.12.2015,1414320090.24
514,13.12.2015,1397732576.06
515,14.12.2015,1386545164.47
516,15.12.2015,1438623725.66
517,16.12.2015,1372911488.88
518,17.12.2015,1367972150.39
519,20.12.2015,1374657583.55
520,21.12.2015,1378818973.81
521,22.12.2015,1308386049.42
522,23.12.2015,1294402768.02
523,24.12.2015,1295610191.98
524,27.12.2015,1251340176.59
525,28.12.2015,1244582505.86
526,29.12.2015,1250030918.93
527,30.12.2015,1252311711.99
528,10.01.2016,1259845485.97
529,11.01.2016,1264707394.8
530,12.01.2016,1266752834.13
531,13.01.2016,1274332233.89
